Load,Temp (C),DSin,DCos,YSin,YCos
1098,9.0,1.0,2.8504080411932595e-12,0.45740620328760995,-0.8892578732819933
1273,10.9,0.9659258262911721,-0.25881904509466946,0.45676868146649496,-0.8895855055200481
1337,13.2,0.8660254037838657,-0.5000000000009923,0.4561309249681574,-0.8899126807095701
1358,14.9,0.7071067811894693,-0.7071067811836257,0.45549293412026165,-0.8902393986824639
1362,16.0,0.5000000000081493,-0.8660254037797337,0.45485470925059285,-0.8905656592708696
1350,16.8,0.258819045102652,-0.9659258262890331,0.45421625068705623,-0.8908914623071619
1367,18.0,5.413752192787778e-12,-1.0,0.4535775587576517,-0.8912168076239636
1376,19.0,-0.25881904509219344,-0.9659258262918354,0.45293863379057514,-0.8915416950540941
1341,19.4,-0.49999999999877237,-0.8660254037851475,0.4522994761140661,-0.8918661244306464
1326,20.3,-0.7071067811818131,-0.7071067811912819,0.45166008605650915,-0.8921900955869364
1331,20.2,-0.8660254037857279,-0.49999999999776684,0.45102046394640816,-0.892513608356515
1351,20.4,-0.9659258262883696,-0.25881904510512804,0.4503806101123861,-0.892836662573169
1335,20.2,-1.0,-7.977096344382297e-12,0.4497405248831853,-0.8931592580709204
1301,19.7,-0.9659258262887326,0.2588190451037735,0.44910020858764127,-0.8934813946840399
1297,17.5,-0.8660254037864291,0.4999999999965524,0.44845966155478467,-0.8938030722469956
1332,14.0,-0.7071067811930944,0.7071067811800006,0.4478188841136883,-0.8941242905945297
1218,12.5,-0.49999999999998673,0.8660254037844463,0.4471778765935689,-0.8944450495616078
1072,11.1,-0.258819045107604,0.9659258262877062,0.44653663932376136,-0.894765348983431
963,10.3,-1.0540440495976815e-11,1.0,0.44589517263371864,-0.8950851886954371
917,9.3,0.25881904510129755,0.965925826289396,0.4452534768530115,-0.8954045685332997
898,8.5,0.49999999999433253,0.8660254037877108,0.44461155231130295,-0.8957234883329417
891,8.0,0.7071067811884778,0.7071067811846172,0.44396939933845003,-0.8960419479304839
890,7.6,0.8660254037831646,0.5000000000022067,0.44332701826435067,-0.8963599471623217
891,8.5,0.9659258262870428,0.25881904511008,0.44268440941904535,-0.8966774858650746
930,10.9,1.0,-1.4481305807955173e-12,0.4420415731326919,-0.8969945638755984
1025,13.3,0.9659258262900595,-0.25881904509882153,0.44139850973556455,-0.8973111810309858
1171,15.9,0.8660254037889925,-0.4999999999921126,0.44075521955805463,-0.8976273371685664
1243,18.1,0.7071067811864298,-0.7071067811866653,0.4401117029306442,-0.8979430321259185
1262,20.1,0.5000000000044266,-0.866025403781883,0.43946796018400835,-0.8982582657408207
1260,20.9,0.25881904511255605,-0.9659258262863794,0.4388239916488617,-0.8985730378513256
1250,21.8,1.1152135707990014e-12,-1.0,0.4381797976560605,-0.8988873482957104
1231,22.5,-0.2588190450963455,-0.965925826290723,0.4375353785365768,-0.8992011969124899
1173,23.7,-0.500000000002495,-0.8660254037829982,0.43689073462149824,-0.8995145835404157
1172,23.4,-0.7071067811848527,-0.7071067811882424,0.43624586624202805,-0.8998275080184771
